City,Address,Number_of_rooms,Type,Price_in_dollars,All_Method,REA,Dateofsold,DistanceKM,Postcode,Bathroom,car_place,LandSizeMetres,BuildinSizeMetres,YearBuilt,CouncilArea,Lattitude,Longtitude,GeneralRegion,No_of_properties
Chadstone,2/32 Melinga Cr,3,u,,PI,Buxton,16-09-2017,11.7,3148,1,1,646,,,Monash City Council,-37.87775,145.10782,Southern Metropolitan,3582
Parkdale,29 Antibes St,3,h,1775000,VB,Barry,14-10-2017,21.5,3195,3,4,791,,,Kingston City Council,-37.99309,145.07113,South-Eastern Metropolitan,5087
Ringwood North,30 Cantala Cr,4,h,950000,PI,Barry,25-11-2017,19.9,3134,2,2,,,,Manningham City Council,-37.8009,145.2176,Eastern Metropolitan,3619
Oakleigh,38 Henry St,3,h,1320000,PI,Ray,17-02-2018,12.3,3166,1,2,543,152,1950,Monash City Council,-37.90452,145.10391,Southern Metropolitan,3224
Kensington,106/80 Speakmen St,1,u,312000,SP,Edward,06-08-2016,4.2,3031,,,,,,Melbourne City Council,,,Northern Metropolitan,5263
Lalor,105 William St,3,h,700000,SP,YPA,29-07-2017,16.3,3075,1,2,625,,,Whittlesea City Council,-37.67427,145.02961,Northern Metropolitan,8279
Nunawading,2/38 Efron St,4,t,,VB,Fletchers,08-07-2017,15.4,3131,,,,,,Manningham City Council,,,Eastern Metropolitan,4973
Vermont,88 Boronia Rd,3,h,988000,S,Fletchers,22-07-2017,17.2,3133,1,1,653,119,1970,Maroondah City Council,-37.84034,145.2022,Eastern Metropolitan,4181
Balwyn North,58 Aquila St,3,h,,S,Fletchers,10-09-2016,9.2,3104,2,2,635,,,Boroondara City Council,-37.7862,145.0693,Southern Metropolitan,7809
Burwood,23/1 Conservatory Dr,3,u,,S,Jellis,07-10-2017,10.4,3125,,,,,,Monash City Council,,,Southern Metropolitan,5678
Sunshine,14 Sturt St,3,h,750000,SP,Bells,17-03-2018,10.5,3020,1,3,604,,,Brimbank City Council,-37.77961,144.84391,Western Metropolitan,3755
Deer Park,13 Cavendish Dr,3,h,557000,S,Barry,08-07-2017,14.8,3023,1,2,539,148,1985,Brimbank City Council,-37.76545,144.76458,Western Metropolitan,6388
South Yarra,37 Grosvenor St,3,h,1810000,S,hockingstuart,18-06-2016,3.3,3141,1,1,211,18,1906,Melbourne City Council,-37.8442,144.9928,Southern Metropolitan,14887
Oakleigh South,1/30 Mimosa Av,3,u,710000,SP,Buxton,17-09-2016,14.7,3167,,,,,,Kingston City Council,,,South-Eastern Metropolitan,3692
St Kilda,3/48 Dalgety St,2,u,549000,S,McGrath,24-09-2016,6.1,3182,,,,,,Port Phillip City Council,-37.8594,144.9808,Southern Metropolitan,13240
Camberwell,6/11 Seymour Gr,2,u,530000,PI,Fletchers,22-05-2016,7.8,3124,1,1,0,,,Boroondara City Council,-37.8361,145.0599,Southern Metropolitan,8920
Clyde North,15 Palomino Av,4,h,635000,SA,O'Brien,27-05-2017,43.4,3978,,,,,,Casey City Council,,,Eastern Victoria,2987
Port Melbourne,7/174 Esplanade Pl,2,u,730000,SP,RT,16-04-2016,3.8,3207,,,,,,Melbourne City Council,,,Southern Metropolitan,8648
Glen Huntly,2/33 MacGowan Av,3,t,935000,S,Gary,03-03-2018,10.1,3163,,,,,,Glen Eira City Council,,,Southern Metropolitan,2403
Bayswater,23 Ozone Rd,4,h,916500,S,Win,21-10-2017,23.2,3153,2,0,725,148,1970,Knox City Council,-37.85041,145.26265,Eastern Metropolitan,5030
Reservoir,26 Churchill Av,3,h,450000,PI,Ray,27-06-2016,11.2,3073,,,,,,Darebin City Council,,,Northern Metropolitan,21650
Burwood,46 Cumming St,4,h,1601000,S,McGrath,29-04-2017,11.7,3125,2,1,863,165,1940,Monash City Council,-37.8539,145.1127,Southern Metropolitan,5678
Murrumbeena,3/19 Dunoon St,3,t,885000,S,Woodards,03-03-2018,10.1,3163,,,,,,Glen Eira City Council,,,Southern Metropolitan,4442
Richmond,14 McCrae Mw,3,h,1710000,S,Jellis,22-07-2017,2.4,3121,,,,,,Yarra City Council,,,Northern Metropolitan,14949
Melbourne,605/55 Queens Rd,1,u,400000,PI,RT,03-09-2016,2.8,3000,,,,,,Melbourne City Council,,,Northern Metropolitan,17496
Dandenong,2/60 James St,5,t,,VB,Hall,24-02-2018,24.7,3175,,,,,,Greater Dandenong City Council,,,South-Eastern Metropolitan,10894
Preston,21 Gillingham St,3,h,1162500,S,Nelson,28-08-2016,8.8,3072,2,2,463,123,1920,Darebin City Council,-37.7507,144.9921,Northern Metropolitan,14577
Doncaster East,58 Devon Dr,3,h,937000,S,Barry,03-09-2017,14.3,3109,1,2,,112,1960,Manningham City Council,-37.79542,145.15579,Eastern Metropolitan,10999
Rowville,11 Baringa Ct,4,h,,VB,Jellis,11-11-2017,23.5,3178,2,2,854,,,Knox City Council,-37.9069,145.2665,South-Eastern Metropolitan,11667
Taylors Lakes,2a Mallacoota Ct,3,u,500000,PI,Brad,01-07-2017,15.5,3038,,,,,,Brimbank City Council,,,Western Metropolitan,5336
Mont Albert,12 Rostrevor Pde,4,h,2335000,S,Kay,18-03-2017,11.8,3127,2,2,813,170,1938,Boroondara City Council,-37.8118,145.1065,Eastern Metropolitan,2079
Kew,74 Charles St,5,h,,SP,Jellis,04-06-2016,5.6,3101,3,4,1464,,1890,Boroondara City Council,,,Southern Metropolitan,10331
Bayswater North,1/300 Bayswater Rd,3,u,707200,S,McGrath,10-03-2018,23.2,3153,,,,,,Maroondah City Council,,,Eastern Metropolitan,3598
Carnegie,15/225 Koornang Rd,2,u,468250,S,Ray,28-08-2016,11.4,3163,1,1,912,75,2008,Glen Eira City Council,-37.8936,145.056,Southern Metropolitan,7822
Mulgrave,2 Bentley Ct,3,h,867000,PI,Harcourts,06-01-2018,18.8,3170,1,2,714,,,Monash City Council,-37.92554,145.17268,South-Eastern Metropolitan,7113
Altona,2/10 McAlpine Ct,3,u,670000,S,Sweeney,17-06-2017,11,3018,2,1,284,88,1988,Hobsons Bay City Council,-37.86066,144.82013,Western Metropolitan,5301
Bulleen,2A Austin St,3,h,1100000,PI,Barry,28-10-2017,10.8,3105,3,3,,200,2004,Manningham City Council,-37.76472,145.08315,Eastern Metropolitan,4480
Essendon,1/9 Ardoch St,2,u,645000,S,Nelson,04-03-2017,8,3040,1,1,0,76,1980,Moonee Valley City Council,-37.7495,144.9205,Western Metropolitan,9264
Dingley Village,22 Shannon Ct,5,h,955000,S,Ray,24-06-2017,22.2,3172,3,2,619,153,1975,Kingston City Council,-37.97545,145.12054,South-Eastern Metropolitan,3940
Thornbury,39 Keon St,3,h,1020000,S,Nelson,18-03-2017,6.5,3071,1,1,366,,,Darebin City Council,-37.7524,144.9912,Northern Metropolitan,8870
Malvern,30 Grace St,2,h,,S,Marshall,07-11-2016,7.4,3144,1,2,383,130,1900,Stonnington City Council,-37.8596,145.0357,Southern Metropolitan,4675
Murrumbeena,15 Winston Wy,3,h,1610000,SP,Woodards,28-10-2017,10.1,3163,2,2,,,,Glen Eira City Council,-37.90488,145.06104,Southern Metropolitan,4442
Elwood,81 Milton St,3,h,,S,Chisholm,28-05-2016,7.7,3184,1,0,263,145,1920,Port Phillip City Council,-37.8757,144.9804,Southern Metropolitan,8989
Balwyn North,12 Ellsa St,4,h,,SP,Jellis,17-03-2018,9.7,3104,4,2,1021,,1950,Boroondara City Council,-37.79257,145.09634,Southern Metropolitan,7809
Newport,75 Oakbank St,2,h,922000,S,Williams,17-09-2016,8.4,3015,1,0,301,380,,Hobsons Bay City Council,-37.8472,144.8907,Western Metropolitan,5498
Fairfield,2/152 Gillies St,2,h,610000,S,Thomas,10-12-2016,5.8,3078,1,1,66,,,Darebin City Council,-37.7722,145.0178,Northern Metropolitan,2970
Airport West,4/9 West Ct,2,t,420000,VB,Barry,04-06-2016,13.5,3042,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464
Mont Albert,1/14 Wilson St,4,t,1760000,PI,Kay,03-03-2018,10.2,3127,,,,,,Boroondara City Council,,,Eastern Metropolitan,2079
Templestowe,53 Milne St,3,h,1350000,S,Jellis,03-06-2017,15.5,3106,2,2,809,188,1975,Manningham City Council,-37.75289,145.12826,Eastern Metropolitan,6202
Windsor,6/4 Normanby St,1,u,,S,hockingstuart,14-10-2017,4.6,3181,,,,,,Port Phillip City Council,,,Southern Metropolitan,4380
Richmond,5 Union St,3,h,1520000,S,Biggin,30-07-2016,2.6,3121,1,2,248,100,1900,Yarra City Council,-37.8185,144.9935,Northern Metropolitan,14949
Coburg,13 Walsh St,4,h,1480000,S,Barry,11-11-2017,6.7,3058,2,2,424,,,Darebin City Council,-37.7478,144.9671,Northern Metropolitan,11204
Burnley,7/6 Adam St,1,u,370000,SP,LITTLE,09-09-2017,2.4,3121,1,1,,44,1970,Yarra City Council,-37.82844,145.00775,Northern Metropolitan,438
Northcote,43 Henry St,4,h,2250000,SP,Jellis,17-02-2018,5.3,3070,2,,256,185,1900,Darebin City Council,-37.77232,144.99552,Northern Metropolitan,11364
Ascot Vale,4 The Parade,2,h,950000,SP,Raine,07-05-2016,5.9,3032,1,1,173,102,1900,Moonee Valley City Council,-37.7731,144.9206,Western Metropolitan,6567
Ardeer,2/38 Holt St,4,t,,PI,Barry,06-01-2018,12.8,3022,,,,,,Brimbank City Council,,,Western Metropolitan,1281
Tullamarine,3 Henderson Rd,4,h,821000,S,Jason,01-07-2017,12.9,3043,1,6,763,,,Brimbank City Council,-37.69048,144.87312,Western Metropolitan,3296
St Kilda,26 Nelson St,2,h,808000,S,Biggin,18-03-2017,6.1,3182,1,0,124,,1908,Port Phillip City Council,-37.8562,144.9848,Southern Metropolitan,13240
Fairfield,269 Station St,3,h,,S,Jellis,17-03-2018,5.7,3078,2,1,406,,,Darebin City Council,-37.76894,145.02001,Northern Metropolitan,2970
Reservoir,1/28 North Rd,3,t,741000,S,Barry,20-05-2017,11.2,3073,2,2,257,120,,Darebin City Council,-37.7218,145.0231,Northern Metropolitan,21650
Glen Iris,10 Howard St,4,h,3200000,S,Marshall,09-09-2017,7.3,3146,3,2,858,,1980,Boroondara City Council,-37.85557,145.06534,Southern Metropolitan,10412
Reservoir,58 Liston Av,4,h,775000,S,Ray,10-09-2016,11.2,3073,,,,,,Darebin City Council,,,Northern Metropolitan,21650
Armadale,1/519 Dandenong Rd,3,h,,S,hockingstuart,17-03-2018,6.3,3143,,,,,,Stonnington City Council,,,Southern Metropolitan,4836
Reservoir,1/36 Butters St,2,h,605000,S,Nelson,15-10-2016,11.2,3073,,,,,,Darebin City Council,,,Northern Metropolitan,21650
Toorak,11/24 Springfield Av,2,u,1000000,S,Jellis,30-07-2016,4.6,3142,,,,,,Stonnington City Council,,,Southern Metropolitan,7217
Hawthorn East,1/31 Clifton Rd,3,h,,S,Marshall,22-08-2016,7.5,3123,2,2,304,171,2000,Boroondara City Council,-37.8439,145.0525,Southern Metropolitan,6482
Elwood,36 Byrne Av,4,h,,SP,RT,25-11-2017,7.2,3184,3,2,295,280,2000,Port Phillip City Council,-37.8846,144.9811,Southern Metropolitan,8989
Albion,5 Norwood St,3,h,715000,S,Sweeney,21-10-2017,10.5,3020,1,2,638,97,1960,Brimbank City Council,-37.78089,144.81141,Western Metropolitan,2185
Brighton,7 Chavasse St,3,h,1875000,S,Hodges,13-08-2016,11.2,3186,2,2,275,170,1991,Bayside City Council,-37.9153,144.9924,Southern Metropolitan,10579
Essendon West,461 Buckley St,3,h,787500,S,Nelson,12-11-2016,9.8,3040,1,1,556,105,1940,Moonee Valley City Council,-37.7537,144.8856,Western Metropolitan,588
Dandenong,3 Aratula St,3,h,1400000,S,Del,17-03-2018,24.7,3175,1,2,1034,172,1960,Greater Dandenong City Council,-37.98456,145.22401,South-Eastern Metropolitan,10894
Mentone,11/81 Warrigal Rd,1,u,430000,SP,Greg,28-10-2017,20,3194,,,,,,Kingston City Council,,,South-Eastern Metropolitan,6162
Yarraville,4/245 Williamstown Rd,3,t,,S,Jas,28-05-2016,7,3013,1,1,121,115,2000,Maribyrnong City Council,-37.8161,144.883,Western Metropolitan,6543
Broadmeadows,7 Gerbert St,3,h,,PI,YPA,03-03-2018,14,3047,1,1,604,86,1960,Hume City Council,-37.68802,144.93333,Northern Metropolitan,4294
Ascot Vale,28 Gillespie Av,3,h,1080000,S,Brad,24-02-2018,4.3,3032,2,2,223,137,2010,Moonee Valley City Council,-37.77748,144.90652,Western Metropolitan,6567
Essendon,127 Deakin St,2,h,1280000,S,Nelson,12-08-2017,7.5,3040,1,1,512,,,Moonee Valley City Council,-37.74121,144.89273,Western Metropolitan,9264
Heidelberg,32 Powlett St,3,h,1250000,S,Miles,12-08-2017,8.9,3084,1,0,668,,,Banyule City Council,-37.75212,145.05945,Eastern Metropolitan,2890
Doncaster,34 Ayr St,3,h,826000,S,Assisi,28-08-2016,13.9,3108,1,4,192,278,,Manningham City Council,-37.7837,145.1027,Eastern Metropolitan,9028
Greensborough,1/5 Adeline St,2,u,705000,S,Darren,23-09-2017,16.1,3088,1,1,,,1997,Banyule City Council,-37.70773,145.09371,Northern Metropolitan,8524
Thornbury,2/121 Darebin Rd,2,u,605000,S,Barry,22-05-2016,6.5,3071,1,1,133,83,,Darebin City Council,-37.7641,145.0104,Northern Metropolitan,8870
Southbank,2010/118 Kavanagh St,2,u,,SP,MICM,24-02-2018,0.7,3006,,,,,,Melbourne City Council,,,Southern Metropolitan,8400
Balwyn North,7 Helston St,4,h,2255000,PI,Fletchers,03-03-2018,9.7,3104,2,2,576,331,2013,Boroondara City Council,-37.7864,145.09216,Southern Metropolitan,7809
Fairfield,7/59 Rathmines St,2,u,445000,S,Nelson,10-12-2016,5.8,3078,1,1,0,56,1970,Darebin City Council,-37.7782,145.0162,Northern Metropolitan,2970
Richmond,4 Burgess St,3,h,1405000,S,Rendina,27-11-2016,2.6,3121,1,2,212,,,Yarra City Council,-37.8302,144.9993,Northern Metropolitan,14949
Collingwood,2/13 Alexander St,1,u,366000,S,Woodards,16-07-2016,1.6,3066,1,1,0,44,1970,Yarra City Council,-37.796,144.9911,Northern Metropolitan,4553
Hoppers Crossing,45 Spring Dr,3,h,602000,S,Reliance,17-03-2018,18.4,3029,2,5,640,,,Wyndham City Council,-37.87209,144.69629,Western Metropolitan,13830
West Footscray,91 Suffolk St,2,h,888000,PI,Sweeney,20-05-2017,8.2,3012,1,2,401,113.81,1945,Maribyrnong City Council,-37.7903,144.8703,Western Metropolitan,5058
Armadale,4 Armadale St,4,h,4250000,PI,Marshall,24-02-2018,6.3,3143,3,2,550,283,1890,Stonnington City Council,-37.8604,145.01852,Southern Metropolitan,4836
Taylors Lakes,527 Kings Rd,3,h,790500,S,Barry,03-06-2017,15.5,3038,2,2,808,,,Brimbank City Council,-37.6943,144.78187,Western Metropolitan,5336
Research,2/24 Raglan Rd,2,u,650000,S,Barry,17-02-2018,18,3095,,,,,,Nillumbik Shire Council,,,Eastern Metropolitan,938
Gowanbrae,24 Duranta Dr,4,t,655000,S,Nelson,26-08-2017,12.9,3043,3,2,170,215,2017,Moreland City Council,-37.70128,144.90187,Western Metropolitan,1071
Brighton East,200 South Rd,4,h,1920000,S,Nick,11-02-2017,10.7,3187,1,1,1000,203,1960,Bayside City Council,-37.931,145.0163,Southern Metropolitan,6938
Keilor East,148 Rachelle Rd,4,h,1160000,S,Nelson,26-08-2017,11.7,3033,3,4,670,273,1970,Brimbank City Council,-37.73492,144.87231,Western Metropolitan,5629
South Yarra,6/120 Caroline St,1,u,,S,Sotheby's,12-11-2016,3.3,3141,1,0,0,,1928,Melbourne City Council,-37.8337,144.99,Southern Metropolitan,14887
Keilor East,57 Wonganella Dr,3,h,757000,S,Nelson,07-11-2016,12.8,3033,2,1,532,140,1960,Brimbank City Council,-37.7295,144.8644,Western Metropolitan,5629
Hillside,11 Serrata Ct,3,h,550250,S,Barry,09-12-2017,18,3037,2,0,,126,2002,Brimbank City Council,-37.70548,144.75265,Western Metropolitan,5556
Bentleigh East,1/39 Lancaster St,3,h,,VB,Jellis,25-11-2017,13.8,3165,,,,,,Glen Eira City Council,,,Southern Metropolitan,10969
Ivanhoe,3/123 Waterdale Rd,3,t,962000,S,Miles,04-03-2017,7.9,3079,2,1,108,,,Banyule City Council,-37.7668,145.0434,Eastern Metropolitan,5549
Heidelberg Heights,11 Dougharty Rd,3,h,800000,VB,Flannagan,17-03-2018,8.8,3081,2,1,583,,,Banyule City Council,-37.7356,145.05839,Eastern Metropolitan,2947
Burwood,26 Inverness Av,3,h,1116000,S,Buxton,24-09-2016,11.7,3125,,,,,,Monash City Council,,,Southern Metropolitan,5678
Mernda,6 Uccello Wy,3,h,600000,S,Millership,24-02-2018,25.9,3754,2,2,362,160,2007,Whittlesea City Council,-37.60995,145.08925,Northern Metropolitan,5812
Langwarrin,24 Lang Rd,2,h,482000,S,Community,12-08-2017,41,3910,,,,,,Frankston City Council,,,Eastern Victoria,8743
Fitzroy North,25 Liverpool St,4,h,1780000,S,Jellis,03-03-2018,3.6,3068,2,1,150,133,1890,Moreland City Council,-37.78109,144.97939,Northern Metropolitan,6244
Coburg North,35 Shorts Rd,3,h,822000,S,Nelson,11-11-2017,6.7,3058,1,2,,139,1959,Darebin City Council,-37.7237,144.9585,Northern Metropolitan,3445
Mordialloc,5 Reys Cl,4,h,1285000,S,Hodges,16-09-2017,21.5,3195,2,4,656,,,Kingston City Council,-38.00394,145.1025,South-Eastern Metropolitan,3650
Caulfield North,127 Normanby Rd,4,h,2625000,S,Marshall,25-02-2017,8.1,3161,2,3,836,,1910,Glen Eira City Council,-37.8696,145.0323,Southern Metropolitan,6923
Toorak,13/415 Toorak Rd,3,u,,PI,RT,23-09-2017,4.1,3142,2,1,,147,1970,Stonnington City Council,-37.84057,145.00606,Southern Metropolitan,7217
Middle Park,57 Park Rd,4,h,,S,Greg,28-10-2017,3,3206,2,2,362,235,1930,Port Phillip City Council,-37.85398,144.96725,Southern Metropolitan,2019
Toorak,7/36 Grange Rd,1,u,541000,S,Jellis,15-10-2016,4.6,3142,1,1,0,57,1970,Stonnington City Council,-37.8373,145.0116,Southern Metropolitan,7217
Craigieburn,23 Royal Tce,3,h,480000,S,Barry,06-01-2018,20.6,3064,1,1,,,,Hume City Council,-37.57447,144.93348,Northern Metropolitan,15510
Richmond,33a River St,4,h,1375000,S,hockingstuart,06-08-2016,2.6,3121,2,2,58,158,2007,Yarra City Council,-37.817,145.0135,Northern Metropolitan,14949
Ivanhoe East,13 York Av,4,h,2040000,VB,Miles,23-09-2017,7.8,3079,2,2,585,,,Banyule City Council,-37.7709,145.05676,Eastern Metropolitan,1554
Preston,39 William St,3,h,972500,S,Nelson,03-06-2017,8.4,3072,1,1,448,103,1930,Darebin City Council,-37.73443,145.00201,Northern Metropolitan,14577
Thomastown,11 Belah St,3,h,867000,S,HAR,29-07-2017,15.3,3074,1,3,819,,,Whittlesea City Council,-37.67908,145.02095,Northern Metropolitan,7955
Cairnlea,1 Treemont Ct,4,h,771200,S,HAR,25-11-2017,14.8,3023,,,,,,Brimbank City Council,,,Western Metropolitan,2674
Brooklyn,5/10 Heather Av,2,u,347500,SP,hockingstuart,08-04-2017,10.9,3012,,,,,,Brimbank City Council,,,Western Metropolitan,962
Greensborough,9 Tangari Ct,3,h,842000,S,Parkes,26-08-2017,16.1,3088,2,2,873,,1985,Banyule City Council,-37.69324,145.1023,Northern Metropolitan,8524
Preston,1/26 Tyler St,2,u,,S,Love,29-04-2017,8.8,3072,1,1,191,191,1995,Darebin City Council,-37.7333,145.0356,Northern Metropolitan,14577
Travancore,110 Baroda St,4,h,1562000,SP,Nelson,15-10-2016,5.3,3032,2,1,621,192,1900,Moonee Valley City Council,-37.7778,144.9346,Western Metropolitan,1052
Hughesdale,50 Bowen St,3,h,1250000,VB,Barry,14-10-2017,12.3,3166,2,2,354,134,1920,Monash City Council,-37.90468,145.08213,Southern Metropolitan,3145
Southbank,2404/118 Kavanagh St,2,u,,SP,MICM,15-07-2017,0.7,3006,2,1,77,,2014,Melbourne City Council,-37.82555,144.96224,Southern Metropolitan,8400
Surrey Hills,5/19 Elm St,2,u,695000,VB,Harcourts,14-10-2017,10.2,3127,,,,,,Boroondara City Council,,,Southern Metropolitan,5457
Doncaster,5 Robin Ct,4,h,1782000,S,Barry,25-02-2017,13.9,3108,3,3,586,306,2002,Manningham City Council,-37.7739,145.1287,Eastern Metropolitan,9028
Mordialloc,6 Affinity Cl,4,h,1450000,VB,Hodges,10-02-2018,21.5,3195,3,2,,337,2002,Kingston City Council,-38.00242,145.10077,South-Eastern Metropolitan,3650
Reservoir,604A Gilbert Rd,2,h,730000,S,RW,17-03-2018,12,3073,2,2,192,,1943,Darebin City Council,-37.72589,144.99266,Northern Metropolitan,21650
Thomastown,3/3 Travers St,2,u,460000,S,Ray,21-10-2017,15.3,3074,1,1,148,,,Whittlesea City Council,-37.67501,145.01392,Northern Metropolitan,7955
Plenty,2 Hawk Vw,1,h,942000,S,Ray,29-07-2017,20.1,3090,,,,,,Nillumbik Shire Council,,,Northern Victoria,777
Moonee Ponds,29 Winchester St,2,h,1015000,S,Nelson,14-05-2016,6.9,3039,1,1,228,125,1910,Moonee Valley City Council,-37.7685,144.9183,Western Metropolitan,6232
Ardeer,48 McLaughlin St,3,h,645000,S,Barry,22-07-2017,12.8,3022,1,1,603,,,Brimbank City Council,-37.78104,144.80357,Western Metropolitan,1281
Balwyn,27 Parkdale Av,3,h,,VB,Fletchers,04-03-2017,9.7,3103,,,,,,Boroondara City Council,,,Southern Metropolitan,5682
Balwyn North,10 Tower Rd,3,h,2110000,S,Jellis,14-10-2017,9.7,3104,1,2,713,,,Boroondara City Council,-37.80121,145.07786,Southern Metropolitan,7809
Coburg,167 Urquhart St,3,t,875000,S,Nelson,09-09-2017,6.7,3058,2,2,,137,2000,Darebin City Council,-37.741,144.97534,Northern Metropolitan,11204
Brighton East,1 Alexander St,3,h,1301000,SP,Buxton,12-11-2016,10.7,3187,2,2,401,121,1926,Bayside City Council,-37.9062,145.0173,Southern Metropolitan,6938
Bentleigh East,8 Stockdale Av,5,h,1305000,S,Buxton,27-11-2016,13.9,3165,,,,,,Glen Eira City Council,,,Southern Metropolitan,10969
Strathmore,25 Hayes Rd,5,h,1440000,S,Barry,12-06-2016,9.7,3041,3,2,617,347,1990,Moonee Valley City Council,-37.7386,144.917,Western Metropolitan,3284
Ashburton,60 Munro Av,5,h,1850000,S,Fletchers,07-05-2016,11,3147,,,,,,Boroondara City Council,,,Southern Metropolitan,3052
Craigieburn,14 Rouge Wy,4,h,662000,S,LJ,29-07-2017,20.6,3064,,,,,,Hume City Council,,,Northern Metropolitan,15510
Richmond,14 Lincoln St,4,h,,PI,Biggin,24-09-2016,2.6,3121,3,2,106,,,Yarra City Council,-37.8129,145.0011,Northern Metropolitan,14949
Ashwood,231 Huntingdale Rd,2,h,,S,Buxton,03-02-2018,10.2,3147,1,1,651,,,Monash City Council,-37.87126,145.11084,Southern Metropolitan,2894
Mount Waverley,15 Virginia St,3,h,1850000,PI,Jellis,08-07-2017,14.2,3149,1,1,717,153,1960,Monash City Council,-37.87754,145.12076,Eastern Metropolitan,13366
Northcote,8 Swift St,3,h,1800000,VB,McGrath,15-07-2017,5.3,3070,1,2,771,,1950,Darebin City Council,-37.76631,145.01699,Northern Metropolitan,11364
Sunshine West,16 Lauren La,3,h,590900,PI,Douglas,03-06-2017,10.5,3020,,,,,,Brimbank City Council,,,Western Metropolitan,6763
Bentleigh East,35 Gladwyn Av,4,h,1751000,S,Buxton,10-02-2018,13.8,3165,2,2,591,180,1970,Glen Eira City Council,-37.91089,145.0581,Southern Metropolitan,10969
Preston,287 Tyler St,3,h,1650000,S,hockingstuart,10-12-2016,8.8,3072,1,2,452,129,1890,Darebin City Council,-37.7307,145.0094,Northern Metropolitan,14577
Werribee,59 Iluka Dr,3,h,,PI,Barry,27-05-2017,14.7,3030,2,0,639,116,1985,Wyndham City Council,-37.89502,144.63227,Western Metropolitan,16166
Brighton East,8 Robinson St,3,h,,SN,Follett,22-07-2017,10.3,3187,1,2,743,,,Bayside City Council,-37.91921,145.02008,Southern Metropolitan,6938
Hawthorn,4 Simpson Pl,4,h,,S,Marshall,13-08-2016,4.6,3122,2,2,229,,,Boroondara City Council,-37.8176,145.0206,Southern Metropolitan,11308
Malvern,11/37 Wheatland Rd,1,u,455000,S,Biggin,03-06-2017,5.9,3144,1,1,1112,45.4,,Stonnington City Council,-37.86561,145.03602,Southern Metropolitan,4675
Vermont,12 Fiona Ct,5,h,1041000,SP,Barry,17-06-2017,17.2,3133,3,2,724,,,Maroondah City Council,-37.83158,145.20186,Eastern Metropolitan,4181
Eltham,16 Fay St,3,h,1285000,S,Morrison,24-02-2018,18,3095,2,2,993,200,1980,Banyule City Council,-37.7146,145.14124,Eastern Metropolitan,6990
South Melbourne,71 Nelson Rd,2,h,1000000,VB,Marshall,21-10-2017,1.9,3205,1,0,,78,1870,Port Phillip City Council,-37.83551,144.95272,Southern Metropolitan,5943
